directory,filename,file_path,last_commit_date,last_commit_message,last_author,commit_sha,extraction_method
TMF620_Product_Catalog,TMF620_Product_Catalog.rules.yaml,apis/TMF620_Product_Catalog/TMF620_Product_Catalog.rules.yaml,2023-08-31T14:42:39.000Z,Example corrections following Pierre review,Jonathan Goldberg,56cc228,playwright
TMF621_Trouble_Ticket,TMF621_Trouble_Ticket.rules.yaml,apis/TMF621_Trouble_Ticket/TMF621_Trouble_Ticket.rules.yaml,2025-05-05T12:32:23.000Z,uypdate,rsivaji-tmforum,7697ba0,playwright
TMF622_Product_Ordering,TMF622_Product_Ordering.rules.yaml,apis/TMF622_Product_Ordering/TMF622_Product_Ordering.rules.yaml,2023-09-12T15:38:09.000Z,Pierre review comments update,olivier-arnaud,9b407a9,playwright
TMF628_Performance,TMF628_Performance.rules.yaml,apis/TMF628_Performance/TMF628_Performance.rules.yaml,2024-05-03T16:06:07.000Z,no need to for Indicator and IndicatorRef in rule file,gmnguekono need to for Indicator,98e8a8c,playwright
TMF629_Customer,TMF629_Customer.rules.yaml,apis/TMF629_Customer/TMF629_Customer.rules.yaml,2024-07-26T16:11:13.000Z,Regenerating assets after bugfix v5.0.1,rsivaji-tmforumRegenerating,3347138,playwright
TMF632_Party,TMF632_Party.rules.yaml,apis/TMF632_Party/TMF632_Party.rules.yaml,2023-08-28T13:52:02.000Z,Update examples for Pierre review,Jonathan Goldberg,5b37ef6,playwright
TMF633_Service_Catalog,TMF633_Service_Catalog.rules.yaml,apis/TMF633_Service_Catalog/TMF633_Service_Catalog.rules.yaml,2024-02-07T16:56:55.000Z,Updated APIs to fix pipeline errors,jburgess,903eb30,playwright
TMF634_Resource_Catalog,TMF634_Resource_Catalog.rules.yaml,apis/TMF634_Resource_Catalog/TMF634_Resource_Catalog.rules.yaml,2023-09-12T10:05:37.000Z,removed LogicalResourceSpecification from examples,LutzBettgeremoved,a4b6220,playwright
TMF635_Usage,TMF635_Usage.rules.yaml,apis/TMF635_Usage/TMF635_Usage.rules.yaml,2023-09-14T14:53:27.000Z,Update on partialupdate,uweTelco,e737df7,playwright
TMF637_Product_Inventory,TMF637_Product_Inventory.rules.yaml,apis/TMF637_Product_Inventory/TMF637_Product_Inventory.rules.yaml,2024-01-30T15:19:56.000Z,update in 5.1.0 version as requested,AnhTuanOrange,1e9529a,playwright
TMF638_Service_Inventory,TMF638_Service_Inventory.rules.yaml,apis/TMF638_Service_Inventory/TMF638_Service_Inventory.rules.yaml,2023-10-11T23:00:01.000Z,Fix Intent,hrodrigues-hestia,f832f13,playwright
TMF639_Resource_Inventory,TMF639_Resource_Inventory.rules.yaml,apis/TMF639_Resource_Inventory/TMF639_Resource_Inventory.rules.yaml,2025-04-14T09:01:58.000Z,created resource examples for Physical/LogicalResource,LutzBettge,2a9b29a,playwright
TMF640_Service_Activation,TMF640_Service_Activation.rules.yaml,apis/TMF640_Service_Activation/TMF640_Service_Activation.rules.yaml,2025-01-20T10:19:55.000Z,AP-3161 Included geoJson types in rule yaml file,anuaualkhAP-3161,ac99dc5,playwright
TMF641_Service_Ordering,TMF641_Service_Ordering.rules.yaml,apis/TMF641_Service_Ordering/TMF641_Service_Ordering.rules.yaml,2024-01-31T07:25:21.000Z,AP-4778 and AP-4777 to address Pierre's feedback,AmitaGiriyaAP-4778,0a8eeda,playwright
TMF642_Alarm,TMF642_Alarm.rules.yaml,apis/TMF642_Alarm/TMF642_Alarm.rules.yaml,2024-07-26T10:28:32.000Z,Regenerating assets after budgix v5.0.1,rsivaji-tmforumRegenerating,ea9c0a6,playwright
TMF644_Privacy,TMF644_Privacy.rules.yaml,apis/TMF644_Privacy/TMF644_Privacy.rules.yaml,2023-08-28T16:28:15.000Z,Fix all example and pass validation,jacobavrahamFix all example,04abde8,playwright
TMF645_Service_Qualification,TMF645_Service_Qualification.rules.yaml,apis/TMF645_Service_Qualification/TMF645_Service_Qualification.rules.yaml,2025-09-17T07:12:38.000Z,Addressing feedback to include correct ContactMedium discriminator class,AmitaGiriya,01fd4c2,playwright
TMF646_Appointment,TMF646_Appointment.rules.yaml,apis/TMF646_Appointment/TMF646_Appointment.rules.yaml,2024-05-27T22:21:30.000Z,Fixing the events paths and examples,azoqueFixing the events paths,7b4b5b2,playwright
TMF648_Quote,TMF648_Quote.rules.yaml,apis/TMF648_Quote/TMF648_Quote.rules.yaml,2025-04-09T14:08:58.000Z,Apply the corrections following the review of Jonathan,amanidkhilApply,12f79b1,playwright
TMF649_Performance_Thresholding,TMF649_Performance_Thresholding.rules.yaml,apis/TMF649_Performance_Thresholding/TMF649_Performance_Thresholding.rules.yaml,2024-11-19T11:57:56.000Z,Added real world example,subhanshu-shukla-ril,d1745e3,playwright
TMF650_Onboarding,TMF650_Onboarding.rules.yaml,apis/TMF650_Onboarding/TMF650_Onboarding.rules.yaml,2023-09-15T04:34:29.000Z,remove linkings,LianhuaZhangremove,305a68a,playwright
TMF651_Agreement,TMF651_Agreement.rules.yaml,apis/TMF651_Agreement/TMF651_Agreement.rules.yaml,2024-08-07T17:48:44.000Z,Added missing PATCH query params,Jonathan Goldberg,d0a76ce,playwright
TMF653_Service_Test,TMF653_Service_Test.rules.yaml,apis/TMF653_Service_Test/TMF653_Service_Test.rules.yaml,2024-02-29T01:24:10.000Z,User Guide updated to align merge-patch sample body with application …,pushan-mukerjeeUser,d229734,playwright
TMF654_PrepayBalance,TMF654_PrepayBalance.rules.yaml,apis/TMF654_PrepayBalance/TMF654_PrepayBalance.rules.yaml,2024-12-20T09:50:30.000Z,Renamed back to prepayBalanceManagement. New balanceManagement API WIP,rochanamRenamed,a3f82e2,playwright
TMF656_Service_Problem,TMF656_Service_Problem.rules.yaml,apis/TMF656_Service_Problem/TMF656_Service_Problem.rules.yaml,2025-09-05T04:20:03.000Z,PR1473: Incorporating feedback,sheiljabPR1473,4aa7096,playwright
TMF657_Service_Quality_Management,TMF657_Service_Quality_Management.rules.yaml,apis/TMF657_Service_Quality_Management/TMF657_Service_Quality_Management.rules.yaml,2024-02-07T16:56:55.000Z,Updated APIs to fix pipeline errors,jburgess,903eb30,playwright
